" and "," dan "
"Please enter a valid zip code. For example 90602 or 90602-1234.","Silakan masukan kode pos yang valid. Sebagai contoh 90602 or 90602-1234."
"Please enter another credit card number to complete your purchase.","Silakan masukan nomor kartu kredit yang lain untuk melengkapi pembelian Anda."
"Please enter valid password.","Silakan masukan kata sandi yang valid."
"Please make sure that your changes were saved before running the profile.","Silakan pastikan bahwa perubahan Anda di simpan sebelum menjalankan profil."
"Please make sure your passwords match.","silakan pastikan bahwa kata sandi Anda cocok."
"Please select State/Province.","Silakan pilih Negara/Provisi."
"Please select an option.","Silakan pilih sebuah opsi."
"Please select one of the above options.","Silakan pilih salah satu dari opsi diatas."
"Please select one of the options.","Silakan pilih salah satu opsi."
"Please use in this field only ""a-z,0-9,_"".","Silakan gunakan pada bidang ini hanya""a-z,0-9,_""."
"Please use letters only (a-z) in this field.","Silakan gunakan hanya hurup (a-z) pada bidang ini."
"Please use numbers only in this field. Please avoid spaces or other characters such as dots or commas.","Silakan menggunakan nomor hanya dalam bidang ini. Harap menghindari spasi atau karakter lain seperti titik atau koma "";.;"
"Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","Silakan gunakan hanya huruf (a-z) atau angka (0-9) hanya dalam bidang ini. Tanpa spasi atau karakter lain yang diizinkan "";.;"
"Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.","Silakan gunakan hanya huruf (a-z) atau angka (0-9) atau ruang dan # hanya di bidang ini "";.;"
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Silakan menggunakan format tanggal: hh / bb / tttt Misalnya 17/03/2006 untuk 17 Maret 2006.."
"Please wait while the indexes are being refreshed.","Silahkan tunggu ketika indeks sedang diperbarui "";.;"
"Please wait, loading...","Mohon tunggu, memuat..."
"Preset Theme","Preset Tema"
"Prev. month (hold for menu)","Bulan sebelum nya (tahan untuk menu)"
"Prev. year (hold for menu)","Tahun sebelum nya (tahan untuk menu)"
"Preview","Tinjauan"
"Previous page","Halaman sebelumnya"
"Price:","Harga:"
"Product Name3 ","Nama Produk3 "
"Product Name3 1","Nama Produk3 1"
"Product Name3 2","Nama Produk3 2"
"Products","Produk"
"Profile Information","Informasi profil"
"Qty:","Kuantitas:"
"Read details","Baca detil"
"Reference ID","ID referensi"
"Regular Price:","Harga reguler:"
"Remote FTP","FTP Jauh"
"Remove","Hapus"
"Required settings","Pengaturan Diperlukan"
"Reset theme to default","Reset tema ke standar"
"Resource Access","Akses sumber daya"
"Resources","sumberdaya"
"Return URL: ","URL kembali: "
"Role Users","Pengguna Role"
"Roles","Role"
"Roles Resources","Sumber daya Role"
"SKU:","SKU:"
"SORT BY:","DIURUTKAN OLEH:"
"Save","Simpan"
"Save As","Simpan Sebagai"
"Save Theme","Simpan tema"
"Screens:","Layar:"
"Select All","Pilih semua"
"Select Date","Pilih tanggal"
"Select Range","Pilih kisaran"
"Select Visible","Pilih dapat dilihat"
"Select date","Pilih tanggal"
"Shipment Comments","Komentar pengiriman"
"Shipment History","Riwayat pengiriman"
"Shipping Address","Alamat pengiriman"
"Shipping address selection is not applicable","pemilihan alamat Pengiriman  tidak berlaku "
"Shipping method selection is not applicable","Pemilihan metode pengiriman tidak berlaku"
"Show By","Ditampilkan oleh"
"Show Report For","Tunjukan laporan untuk"
"Show confirmation page: ","Tunjukan halaman konfirmasi: "
"Silent Post URL:","URL Posting Silent :"
"Some items in this order have different invoice and shipment types. You can create shipment only after the invoice is created.","Beberapa barang dalam urutan ini memiliki tipe faktur dan pengiriman yang berbeda. Anda dapat membuat pengiriman hanya setelah faktur dibuat "
"Sort Order","Urutan Pesanan"
"Special Price:","Harga khusus:"
"Spreadsheet Name:","Nama Spreadsheet:"
"Start Date","Tanggal mulai"
"Start/Reset Validation...","mulai/Reset Validasi..."
"Starting profile execution, please wait...","memulai eksekusi profil, silakan tunggu..."
"State/Province:","Negara/Provinsi:"
"Status","Status"
"Status:","Status:"
"Stock Quantity:","Kuantitas Stok:"
"Store:","Toko:"
"Switch/Solo card issue number: %s","Beralih/Memberikan nomer kartu tunggal: %s"
"Switch/Solo card start Date: %s/%s","Beralih/Mulai hari kartu tunggal: %s/%s"
"Switch/Solo/Maestro Only","Beralih/Tunggal/Hanya Maestro"
"Switch/Solo/Maestro(UK Domestic) Only","Beralih/Tunggal/Maestro(UK Domestic) Hanya"
"Switch/Solo/Maestro(UK Domestic) card issue number: %s","Beralih/Solo/Maestro(UK Domestik) nomor terbit kartu: %s"
"Switch/Solo/Maestro(UK Domestic) card start Date: %s/%s","berpindah/Solo/Maestro(UK Domestik) Tanggal mulai kartu: %s/%s"
"Synchronization is required.","Sinkronisasi dibutuhkan."
"System busy","Sistem Sibuk"
"T-Shirts","T-Shirts"
"Target","Sasaran"
"Tell a Friend","Beritahu Teman"
"The card has failed verification with the issuer bank.","Kartu ini telah gagal verifikasi dengan bank penerbit."
"The information in this tab has been changed.","Informasi dalam tab ini telah diubah."
"Theme configurations are successfully reset.","Konfigurasi tema berhasil diulang."
"Theme label can\'t be empty","Label theme tidak boleh kosong"
"Theme label:","Label theme:"
"There has been wrong payment information submitted or time limit has expired. Please, try again.","Telah ada informasi pembayaran yang salah dimasukan atau batas waktu telah berakhir. Silakan, coba lagi "";.;"
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","Ini adalah toko demo. Setiap order yang dilakukan melalui toko ini tidak akan dihormati atau dipenuhi "";.;"
"This is a required field.","Ini dibutuhkan bidang."
"This tab contains invalid data. Please solve the problem before saving.","Tab ini berisi data yang tidak valid. Silahkan mengatasi masalah tersebut sebelum menyimpan "";.;"
"Thumbnail","Thumbnail"
"Time selection:","Pemilihan waktu:"
"Time:","Waktu:"
"Title bar","Judul bar"
"To","ke"
"To cancel pending authorizations and release amounts that have already been processed during this payment, click Cancel.","Untuk membatalkan otorisasi tertunda dan jumlah rilis yang sudah diproses selama pembayaran ini, klik Batal "";.;"
"To use Payflow Link, you must configure your Payflow Link account on the Paypal website.","Untuk menggunakan Tautan Payflow, Anda harus mengkonfigurasi akun tautan Payflow  Anda di situs Paypal."
"Top 5 Search Terms","Syarat pencarian top 5"
"Total %d records found","Total %d Catatan ditemukan"
"Track Order","Lacak Order"
"Track this shipment","Lacak Kiriman ini"
"Transaction Data","Transaksi Data"
"Transaction Details","Rincian Transaksi"
"Transaction ID","ID Transaksi"
"Transaction Type","Jenis Transaksi"
"Try Magento Go for Free","Coba Magento Go secara gratis"
"Type","Jenis"
"Type:","Jenis:"
"Unable to login.","Tidak dapat login."
"Unknown Error","Error tidak diketahui"
"Unknown Error.","Error tidak diketahui."
"Unselect All","Batalkan Semua"
"Unselect Visible","Batalkan yang terlihat"
"Update Preview","Perbarui Pratinjau"
"Updated At","Perbarui pada"
"Use Default Value","Gunakan nilai standar"
"Use Silent Post:","Gunakan Silent Post:"
"User","Pengguna"
"User Name","Nama Pengguna"
"User Roles","Peran Pengguna"
"User name","Nama Penguna"
"Users","Pengguna"
"Validation Results","Hasil Validasi"
"Value Delimiter:","Nilai Pembatas:"
"Verification Failed","Verifikasi Gagal"
"Verification Successful","Verifikasi Berhasil"
"Verification cannot be processed","Verifikasi tidak dapat diproses"
"View","Tampilan"
"View Details","Lihat Rincian"
"View Gallery","Lihat Galeri"
"View Statistics For","Lihat Statistik untuk"
"Visibility:","Visibilitas:"
"WS-I Compliance","Kepatuhan WS-I"
"Warning! Empty value can cause problems with CSV format.","Peringatan! Nilai kosong dapat menyebabkan masalah dengan format CSV."
"Warning!\r\nThis action will remove this user from already assigned role\r\nAre you sure?","Peringatan!\r\nAksi ini akan menghapus pengguna ini dari peranan yang sudah ditetapkan \r\nAnda yakin?"
"Warning!\r\nThis action will remove those users from already assigned roles\r\nAre you sure?","Peringatan!\r\nAksi ini akan menghapus para pengguna dari peran yang sudah ditetapkan\r\nApakah anda yakin?"
"Warning: Please do not close the window during importing/exporting data","Peringatan: Jangan menutup jendela selama mengimpor / mengekspor data"
"We detected that your JavaScript seem to be disabled.","Kami mendeteksi bahwa JavaScript Anda tampaknya dinonaktifkan."
"Web Services","Layanan Web"
"What is this?","Apakah ini?"
"Yes","Ya"
"You have %s unread message(s).","Anda memiliki %s pesan belum terbaca(s)."
"You must have JavaScript enabled in your browser to utilize the functionality of this website.","Anda harus memiliki  JavaScript aktif di browser anda untuk memanfaatkan fungsi dari website ini."
"Your account has been deactivated.","Akun anda telah dinonaktifkan."
"Your server PHP settings allow you to upload files not more than %s at a time. Please modify post_max_size (currently is %s) and upload_max_filesize (currently is %s) values in php.ini if you want to upload larger files.","Pengaturan server PHP anda memungkinkan Anda untuk mengunggah file tidak lebih dari %s setiap kalinya. Silahkan modifikasi post_max_size (currently is %s) dan upload_max_filesize (currently is %s) nilai dalam php.ini jika anda inggin mengunggah berkar yang file."
"Zip/Postal Code:","Zip/Kode pos:"
"critical","kritis"
"items selected","barang dipilih"
"major","besar"
"minor","kecil"
"notice","pemberitahuan"
"of %s pages","dari %s halaman"
"per page","perhalaman"
"to","Untuk"
